Time,Left,Right,U
1503,4464,13424,97.913
1526,4464,13600,95.3111
1549,4496,13504,92.6081
1572,4496,13616,89.8556
1595,4480,14208,87.1058
1618,4512,13824,84.411
1641,4480,13536,81.8225
1664,4480,13296,79.3895
1686,4512,13184,77.2504
1707,4480,13008,75.415
1729,4464,12800,73.7407
1751,4496,12544,72.3493
1773,4496,12384,71.265
1795,4464,12288,70.5067
1817,4496,12144,70.0875
1838,4496,12048,70.0105
1860,4464,12032,70.2698
1882,4464,11968,70.8723
1904,4512,11952,71.8076
1926,4480,11952,73.0594
1947,4480,11968,74.5297
1969,4496,12000,76.3326
1991,4480,12080,78.3733
2013,4480,12192,80.6162
2035,4512,12320,83.0225
2057,4464,12432,85.5501
2080,4480,12592,88.2747
2103,4496,12768,91.0321
2126,4480,12976,93.7699
2148,4496,13136,96.3223
2171,4512,13280,98.8723
2193,4464,13552,101.154
2215,4496,13920,103.242
2236,4512,14096,105.021
2258,4480,14192,106.628
2280,4480,14144,107.946
2302,4512,14272,108.952
2324,4480,14544,109.628
2345,4464,14816,109.955
2367,4480,14864,109.958
2389,4496,14848,109.614
2411,4464,14848,108.928
2433,4496,14848,107.914
2455,4496,14832,106.587
2478,4480,14880,104.892
2501,4496,14896,102.914
2523,4480,14848,100.792
2546,4480,14704,98.3731
2569,4512,14544,95.795
2590,4480,14384,93.3435
2612,4464,14224,90.7191
2634,4496,14064,88.0822
2656,4496,13824,85.4787
2678,4464,13600,82.9538
2700,4496,13392,80.5516
2721,4496,13216,78.4113
2743,4464,13120,76.3667
2765,4480,12960,74.5593
2787,4496,12736,73.0206
2809,4464,12544,71.7772
2830,4480,12400,70.886
2852,4512,12304,70.2774
2874,4464,12144,70.0121
2896,4480,12048,70.0945
2918,4512,12000,70.5232
2940,4464,11968,71.2908
2961,4480,11952,72.3274
2983,4496,11968,73.7136
3005,4496,11968,75.3831
3027,4464,12016,77.307
3049,4496,12048,79.4517
3071,4496,12192,81.7799
3092,4464,12384,84.1363
3114,4480,12512,86.704
3136,4512,12720,89.329
3158,4480,12928,91.9657
3181,4480,13088,94.6849
3204,4496,13248,97.3151
3227,4464,13456,99.8062
3250,4496,13664,102.111
3272,4480,13840,104.1
3294,4464,13984,105.844
3316,4496,14128,107.313
3338,4496,14288,108.48
3360,4480,14464,109.326
3381,4480,14624,109.82
3403,4496,14752,110
3425,4480,14864,109.832
3447,4480,14848,109.319
3469,4512,14848,108.47
3491,4480,14848,107.3
3512,4480,14880,105.902
3534,4496,14896,104.167
3556,4480,14912,102.186
3578,4464,14752,99.9922
3600,4496,14560,97.625
3621,4496,14384,95.2411
3643,4464,14272,92.6551
3665,4496,14272,90.023
3687,4496,14032,87.3904
3709,4464,13856,84.8033
3730,4480,13632,82.4175
3752,4496,13408,80.0476
3774,4480,13216,77.8509
3796,4480,13088,75.8656
3818,4496,12864,74.1262
3839,4480,12608,72.7231
3861,4464,12464,71.5473
3883,4496,12336,70.6926
3905,4480,12256,70.1738
3927,4448,12112,70
3949,4512,12048,70.1741
3970,4496,12000,70.6622
3992,4448,11968,71.5022
4014,4496,11952,72.6641
4036,4496,11984,74.1275
4058,4464,12016,75.8672
4079,4480,12032,77.7576
4101,4512,12128,79.9456
4123,4480,12304,82.3086
4145,4464,12384,84.8054
4167,4496,12544,87.3926
4188,4496,12688,89.9052
4210,4464,12880,92.5383
4232,4496,13072,95.1273
4254,4496,13216,97.627
4276,4464,13360,99.9941
4298,4496,13664,102.187
4319,4512,14032,104.083
4341,4480,14112,105.83
4363,4496,14192,107.301
4385,4496,14272,108.471
4407,4480,14400,109.32
4428,4480,14576,109.817
4450,4480,14704,110
4472,4496,14832,109.835
4494,4464,14912,109.325
4516,4496,14944,108.479
4537,4496,14976,107.372
4559,4464,15008,105.916
4581,4496,14992,104.184
4603,4496,14880,102.204
4625,4464,14720,100.013
4646,4480,14608,97.7577
4668,4496,14528,95.2639
4690,4464,14448,92.6786
4712,4480,14240,90.0467
4734,4512,14048,87.4139
4755,4480,13856,84.9422
4777,4464,13616,82.4394
4799,4496,13376,80.0682
4821,4496,13216,77.8698
4843,4464,13056,75.8824
4865,4496,12848,74.1406
4886,4496,12624,72.7351
4908,4464,12480,71.5565
4930,4480,12368,70.6988
4952,4496,12288,70.177
4974,4464,12144,70
4996,4496,12048,70.171
5017,4496,12000,70.6562
